Lightgoldenrod 1,255,236,139
Lightgoldenrod 2,238,220,130
Lightgoldenrod 3,205,190,112
Lightgoldenrod 4,139,129,76
Banana,227,207,87
Gold 1,255,215,0
Gold 2,238,201,0
Gold 3,205,173,0
Gold 4,139,117,0
Cornsilk 1,255,248,220
Cornsilk 2,238,232,205
Cornsilk 3,205,200,177
Cornsilk 4,139,136,120
Goldenrod,218,165,32
Goldenrod 1,255,193,37
Goldenrod 2,238,180,34
Goldenrod 3,205,155,29
Goldenrod 4,139,105,20
Darkgoldenrod,184,134,11
Darkgoldenrod 1,255,185,15
Darkgoldenrod 2,238,173,14
Darkgoldenrod 3,205,149,12
Darkgoldenrod 4,139,101,8
Orange 1,255,165,0
Orange 2,238,154,0
Orange 3,205,133,0
Orange 4,139,90,0
Floralwhite,255,250,240
Oldlace,253,245,230
Wheat,245,222,179
Wheat 1,255,231,186
Wheat 2,238,216,174
Wheat 3,205,186,150
Wheat 4,139,126,102
Moccasin,255,228,181
Papayawhip,255,239,213
Blanchedalmond,255,235,205
Navajowhite 1,255,222,173
Navajowhite 2,238,207,161
Navajowhite 3,205,179,139
Navajowhite 4,139,121,94
Eggshell,252,230,201
Tan,210,180,140
Brick,156,102,31
Cadmiumyellow,255,153,18
Antiquewhite,250,235,215
Antiquewhite 1,255,239,219
Antiquewhite 2,238,223,204
Antiquewhite 3,205,192,176
Antiquewhite 4,139,131,120
Burlywood,222,184,135
Burlywood 1,255,211,155
Burlywood 2,238,197,145
Burlywood 3,205,170,125
Burlywood 4,139,115,85
Bisque 1,255,228,196
Bisque 2,238,213,183
Bisque 3,205,183,158
Bisque 4,139,125,107
Melon,227,168,105
Carrot,237,145,33
Darkorange,255,140,0
Darkorange 1,255,127,0
Darkorange 2,238,118,0
Darkorange 3,205,102,0
Darkorange 4,139,69,0
Orange,255,128,0
Tan 1,255,165,79
Tan 2,238,154,73
Peru,205,133,63
Tan 4,139,90,43
Linen,250,240,230
Peachpuff 1,255,218,185
Peachpuff 2,238,203,173
Peachpuff 3,205,175,149
Peachpuff 4,139,119,101
Seashell 1,255,245,238
Seashell 2,238,229,222
Seashell 3,205,197,191
Seashell 4,139,134,130
Sandybrown,244,164,96
Rawsienna,199,97,20
Chocolate,210,105,30
Chocolate 1,255,127,36
Chocolate 2,238,118,33
Chocolate 3,205,102,29
Saddlebrown,139,69,19
Ivoryblack,41,36,33
Flesh,255,125,64
Cadmiumorange,255,97,3
Burntsienna,138,54,15
Sienna,160,82,45
Sienna 1,255,130,71
Sienna 2,238,121,66
Sienna 3,205,104,57
Sienna 4,139,71,38
Lightsalmon 1,255,160,122
Lightsalmon 2,238,149,114
Lightsalmon 3,205,129,98
Lightsalmon 4,139,87,66
Coral,255,127,80
Orangered 1,255,69,0
Orangered 2,238,64,0
Orangered 3,205,55,0
Orangered 4,139,37,0
Sepia,94,38,18
Darksalmon,233,150,122
Salmon 1,255,140,105
Salmon 2,238,130,98
Salmon 3,205,112,84
Salmon 4,139,76,57
Coral 1,255,114,86
Coral 2,238,106,80
Coral 3,205,91,69
Coral 4,139,62,47
Burntumber,138,51,36
Tomato 1,255,99,71
Tomato 2,238,92,66
Tomato 3,205,79,57
Tomato 4,139,54,38
Salmon,250,128,114
Mistyrose 1,255,228,225
Mistyrose 2,238,213,210
Mistyrose 3,205,183,181
Mistyrose 4,139,125,123
Snow 1,255,250,250
Snow 2,238,233,233
Snow 3,205,201,201
Snow 4,139,137,137
Rosybrown,188,143,143
Rosybrown 1,255,193,193
Rosybrown 2,238,180,180
Rosybrown 3,205,155,155
Rosybrown 4,139,105,105
Lightcoral,240,128,128
Indianred,205,92,92
Indianred 1,255,106,106
Indianred 2,238,99,99
Indianred 4,139,58,58
Indianred 3,205,85,85
Brown,165,42,42
Brown 1,255,64,64
Brown 2,238,59,59
Brown 3,205,51,51
Brown 4,139,35,35
Firebrick,178,34,34
Firebrick 1,255,48,48
Firebrick 2,238,44,44
Firebrick 3,205,38,38
Firebrick 4,139,26,26
Red 1,255,0,0
Red 2,238,0,0
Red 3,205,0,0
Darkred,139,0,0
Maroon 5,128,0,0
Sgi Beet,142,56,142
Sgi Slateblue,113,113,198
Sgi Lightblue,125,158,192
Sgi Teal,56,142,142
Sgi Chartreuse,113,198,113
Sgi Olivedrab,142,142,56
Sgi Brightgray,197,193,170
Sgi Salmon,198,113,113
Sgi Darkgray,85,85,85
Sgi Gray 16,40,40,40
Sgi Gray 36,91,91,91
Sgi Gray 56,142,142,142
Sgi Lightgray,170,170,170
Sgi Gray 76,193,193,193
Sgi Gray 96,244,244,244
White 1,255,255,255
White Smoke 2,245,245,245
Gainsboro,220,220,220
Lightgrey,211,211,211
Silver,192,192,192
Darkgray,169,169,169
Gray 100,128,128,128
Dimgray 1,105,105,105
Black,0,0,0
Gray 99,252,252,252
White Smoke 1,245,245,245
Gray 95,242,242,242
Gray 90,229,229,229
Gray 85,217,217,217
Gray 80,204,204,204
Gray 75,191,191,191
Gray 70,179,179,179
Gray 65,166,166,166
Gray 60,153,153,153
Gray 55,140,140,140
Gray 50,127,127,127
Gray 45,115,115,115
Dimgray 2,105,105,105
Gray 40,102,102,102
Gray 35,89,89,89
Gray 30,77,77,77
Gray 25,64,64,64
Gray 20,51,51,51
Gray 15,38,38,38
Gray 10,26,26,26
Gray 5,13,13,13
Gray 1,3,3,3
